CITY,ZIP,PRICE,BEDS,BATHS,SQUAREFEET,LOTSIZE,YEARBUILT,Price_per_sqrt,MLS,LATITUDE,LONGITUDE
Carrollton,75007,320000,3,2,1305,,1983,245,20228900,33.012655,-96.8722192
Carrollton,75007,329000,3,2,1482,7971,1973,222,20224882,33.0031834,-96.8763794
Carrollton,75007,400000,3,2,1967,8364,1986,203,20216209,33.0119643,-96.917119
Carrollton,75007,299500,3,2,1436,8059,1973,209,20217983,32.9881066,-96.886981
Carrollton,75007,410000,3,2.5,1691,4182,1997,242,20215809,33.018198,-96.9238599
Carrollton,75007,419900,4,3,2034,14026,1977,206,20217733,33.012351,-96.8927225
Carrollton,75007,459900,3,2,1881,8407,1984,244,20222687,33.0178389,-96.8817219
Carrollton,75007,389900,3,2,2044,7405,1986,191,20218051,33.0124606,-96.877217
Carrollton,75007,330000,3,2,1482,7884,1972,223,20210121,32.9998638,-96.8763148
Frisco,75033,889900,5,4.5,3970,6534,2022,224,20240518,33.1893528,-96.8554316
Frisco,75033,789900,4,4,3155,10890,2022,250,20229869,33.1879408,-96.8571958
Frisco,75033,549000,5,2.5,2760,8276,2010,199,20207815,33.1949774,-96.879522
Frisco,75033,674000,5,4,3781,7754,2012,178,20199220,33.1959431,-96.8739074
Frisco,75033,1200000,5,6,4406,20343,2017,272,20195349,33.211399,-96.874987
Frisco,75033,735000,4,3,2759,6621,2019,266,20159162,33.2096545,-96.8704927
Frisco,75068,923888,4,4,3877,10890,2022,238,20111810,33.209901,-96.885596
Frisco,75033,874888,4,4.5,3715,10890,2022,236,20124536,33.210723,-96.885613
Frisco,75033,864900,5,4,3562,13939,2022,243,20094942,33.1887368,-96.855501
Frisco,75033,789900,4,4,3155,9583,2022,250,20059180,33.1880958,-96.8559386
Frisco,75033,749900,4,3,2832,7144,2022,265,20046337,33.1874925,-96.8560568
Frisco,75033,1397526,5,5.5,4402,10759,2022,317,20025080,33.189246,-96.8596644
Frisco,75034,1040400,6,4,4384,11456,2022,237,20155712,33.213693,-96.795141
Frisco,75035,984290,4,5,3948,12023,2022,249,20240874,33.212472,-96.793485
Frisco,75035,589000,3,2,2169,8407,2017,272,20249828,33.2033835,-96.7921099
Frisco,75034,1035900,6,4,4384,11892,2022,236,20118107,33.21173,-96.793338
Frisco,75035,899900,4,3,3557,11892,2022,253,20227761,33.211728,-96.79306
Frisco,75035,649999,3,3,2840,7929,2016,229,20211696,33.2000394,-96.7985336
Frisco,75034,996900,6,4,4384,11456,2022,227,20143644,33.212945,-96.794568
Frisco,75034,1076900,6,4,4384,23174,2022,246,20143329,33.211769,-96.795179
Frisco,75034,1014900,6,4,4351,11456,2022,233,20143652,33.213205,-96.794163
Frisco,75033,650000,4,3.5,3535,8712,2004,184,20230450,33.1628791,-96.8767901
Frisco,75033,999500,5,4.5,4336,14375,2007,231,20168476,33.1703945,-96.8791449
Little Elm,75068,499000,4,2.5,2631,7013,2006,190,20181932,33.1678895,-96.8849276
Frisco,75033,799999,4,3.5,4719,9583,2004,170,20170176,33.1601613,-96.8805442
Frisco,75033,990000,5,4,4707,8799,2006,210,20201079,33.1676657,-96.8613295
Frisco,75033,600000,5,3.5,3568,7492,2000,168,20174809,33.1585618,-96.862337
Frisco,75033,879900,5,4,3985,9017,2004,221,20158232,33.1611865,-96.8566893
Frisco,75033,330000,3,2,1243,6098,1991,265,20217864,33.1566029,-96.8096618
Frisco,75033,410000,4,2,2270,6534,2002,181,20213716,33.1715851,-96.8226821
Frisco,75033,685000,4,2.5,3070,8712,2001,223,20208027,33.1696113,-96.818402
Frisco,75033,450000,3,2,2122,8712,2000,212,20207585,33.1678905,-96.8049997
Frisco,75035,735000,4,3,3277,8276,2005,224,20172438,33.1711988,-96.736235
Frisco,75035,800000,4,4,3726,6882,2018,215,20206682,33.1559358,-96.7516354
Frisco,75035,1235000,5,5.5,4615,10367,2014,268,20176691,33.173423,-96.7450921
Frisco,75035,975000,4,4.5,3886,13329,2011,251,20195533,33.1664648,-96.7444231
Frisco,75035,959999,5,5,4035,8407,2020,238,20183035,33.1541556,-96.7569688
Frisco,75035,626400,5,4,3728,7405,2008,168,20112878,33.1722818,-96.756467
Frisco,75035,878595,4,4.5,3263,6874,2022,269,20187150,33.159428,-96.7548777
Frisco,75035,799000,4,3,3338,6795,2017,239,20170517,33.1632675,-96.7630753
Frisco,75035,869572,4,4,3300,6874,2022,264,20150259,33.1590231,-96.755079
Frisco,75035,925000,4,3.5,3350,7405,2022,276,20107774,33.1589853,-96.7662543
Frisco,75035,699900,3,3.5,2804,4356,2022,250,20059790,33.1707576,-96.7636214
Frisco,75035,1050060,5,5,4355,6874,2022,241,20075368,33.1593755,-96.7554423
Frisco,75035,1008322,4,5,3947,7854,2022,255,20023511,33.1582005,-96.7577191
Frisco,75036,367000,2,2,1452,4966,2018,253,20222287,33.154252,-96.9082103
Little Elm,75036,723253,4,3.5,3217,4617,2023,225,20088568,33.1521398,-96.8954468
Frisco,75036,685000,4,3,3126,8973,2013,219,20214061,33.149605,-96.897112
Frisco,75036,475000,2,2,1675,5401,2018,284,20196296,33.1519526,-96.9098662
Frisco,75036,520000,2,2,1840,7057,2020,283,20201673,33.1440933,-96.9096985
Frisco,75036,420000,2,2,1563,5314,2015,269,20166783,33.142629,-96.913184
Frisco,75036,445000,3,2,2019,6534,2005,220,20197479,33.1472626,-96.8674134
Frisco,75036,849000,5,4.5,4136,7797,2014,205,20182595,33.1492567,-96.8862589
Frisco,75036,650000,4,2,2639,7362,2000,246,20191095,33.1513154,-96.8851779
Frisco,75036,600000,5,3,2847,8146,2003,211,20139402,33.1486291,-96.8771127
Frisco,75036,449500,3,2.5,2169,9540,2000,207,20173518,33.1528897,-96.8811215
Frisco,75034,835000,6,4,4772,9322,2011,175,20217903,33.143771,-96.8601661
Frisco,75034,722000,4,3,2758,6665,2020,262,20205776,33.1355439,-96.8539733
Frisco,75034,1425000,5,4.5,4194,6316,2022,340,20199887,33.1327886,-96.8339828
Frisco,75034,819000,3,3.5,2599,5358,2016,315,20203748,33.148759,-96.8509755
Frisco,75034,1230000,4,4,4140,11151,2013,297,20165010,33.138441,-96.856944
Frisco,75034,3350000,6,7.5,9078,21780,2005,369,20157704,33.1303332,-96.8331404
Frisco,75035,467000,4,2,2111,6098,1994,221,20197388,33.1480328,-96.7845004
Frisco,75035,410000,3,2,1904,6098,1995,215,20203321,33.145183,-96.792457
Frisco,75035,615000,4,3.5,3033,6970,2003,203,20231557,33.1345031,-96.748287
Frisco,75035,520000,4,2,2332,8712,1999,223,20218337,33.120747,-96.791462
Frisco,75035,569900,4,2,2301,7841,1994,248,20214881,33.1270149,-96.7800594
Frisco,75034,1500000,4,4.5,5125,9409,2004,293,20223723,33.131078,-96.813798
Frisco,75034,789900,4,3.5,3250,6098,2001,243,20189586,33.114863,-96.812786
Frisco,75034,1749900,4,5,4962,12197,2004,353,20163036,33.130381,-96.815689
Frisco,75034,989000,3,3.5,3660,6970,2000,270,20225453,33.099452,-96.838592
Frisco,75034,2550000,6,7,8500,15072,2006,300,20216386,33.0904348,-96.8538304
Frisco,75036,450000,2,2,1696,6273,2017,265,20219765,33.1359704,-96.9213537
Frisco,75036,515000,4,2.5,2866,5532,2014,180,20215018,33.1395093,-96.9276853
